id,map_name,tga_filename,C4a,C4b,CT0,CT1,CT2,TER0,TER1,TER2,H0,H1,R0,R1,V0,V1,START0,START1,FINISH0,FINISH1,SM1,SM2,SM3,SM4,SM5,RED,BLUE
79,zs_lostcityHard,LoadingBg_zs_lostcityHard,,,,,,,,,,,,,,,,,,,,,,,,,
80,zs_2gateHard,LoadingBg_zs_2gateHard,,,,,,,,,,,,,,,,,,,,,,,,,
81,de_rats,LoadingBg_de_rats,,,912 121,,,658 285,663 382,,,,,,,,,,,,,,,,,,
82,dm_kart,LoadingBg_dm_kart,,,775 107,,,775 363,,,,,,,,,,,,,,,,,,,
83,sc_cage,LoadingBg_sc_cage,,,,,,,,,,,,,,,,,,,,,,,,,
84,sc_soccer01,LoadingBg_sc_soccer01,,,,,,,,,,,,,,,,,,,,,,,,,
85,zs_chaos,LoadingBg_zs_chaos,,,,,,,,,,,,,,,,,,,,,,,,,
86,zs_lostcityEasy,LoadingBg_zs_lostcityEasy,,,,,,,,,,,,,,,,,,,,,,,,,
87,zs_2gateEasy,LoadingBg_zs_2gateEasy,,,,,,,,,,,,,,,,,,,,,,,,,
88,hs_desertstorm,LoadingBg_hs_desertstorm,,,,,,,,,,,,,,,,,,,,,,,,,
89,hs_desertstormHard,LoadingBg_hs_desertstormHard,,,,,,,,,,,,,,,,,,,,,,,,,
90,hs_hellfire,LoadingBg_hs_hellfire,,,,,,,,,,,,,,,,,,,,,,,,,
91,hs_mosque,LoadingBg_hs_mosque,,,,,,,,,,,,,,,,,,,,,,,,,
92,zs_cube,LoadingBg_zs_cube,,,,,,,,,,,,,,,,,,,,,,,,,
93,hs_blaze,LoadingBg_hs_blaze,,,,,,,,,,,,,,,,,,,,,,,,,
94,ma_metalgate,LoadingBg_MA_Metalgate,,,,,,,,,,,,,,,,,,,797 172,903 194,808 355,914 378,856 275,837 106,828 447
96,DM_port,LoadingBg_DM_port,,,935 176,,,513 176,,,,,,,,,,,,,,,,,,,
97,ma_quasar,LoadingBg_MA_Quasar,,,,,,,,,,,,,,,,,,,676 215,816 125,958 215,816 304,817 214,907 334,680 99
98,zs_deadend,LoadingBg_zs_deadend,,,,,,,,,,,,,,,,,,,,,,,,,
99,DM_industry2,LoadingBg_DM_industry2,,,,831 102,,825 396,,,,,,,,,,,,,,,,,,,
100,de_toscana,LoadingBg_de_toscana,828 154,812 390,929 249,,,548 254,,,,,,,,,,,,,,,,,,,
101,zs_nightmare,LoadingBg_zs_nightmare,,,,,,,,,,,,,,,,,,,,,,,,,
102,zm_requiem,LoadingBg_ZM_Requiem,,,,,,,,,,,,,,,,,,,,,,,,,
103,zm_rest,LoadingBg_ZM_Rest,,,,,,,,,,,,,,,,,,,,,,,,,
104,zm_origin,LoadingBg_ZM_Origin,,,,,,,,,,,,,,,,,,,,,,,,,
105,dm_suzhou,LoadingBg_DM_suzhou,,,529 205,,,935 205,,,,,,,,,,,,,,,,,,,
106,zs_trace,LoadingBg_ZS_trace,,,,,,,,,,,,,,,,,,,,,,,,,
107,fun_checkmate,LoadingBg_FUN_checkmate,,,938 191,,,499 191,,,,,,,,,,,,,,,,,,,
108,hs_sidewinder,LoadingBg_hs_sidewinder,,,,,,,,,,,,,,,,,,,,,,,,,
109,hd_harlem,LoadingBg_HD_Harlem,,,,,,,,,,,,,,,,,,,,,,,,,
110,ze_bloodcastle,LoadingBg_ze_bloodcastle,,,,,,,,,,,,,,,508 282,,892 150,,,,,,,,
111,bk_blackout,LoadingBg_bk_blackout,,,752 85,720 290,,950 140,920 345,,,,,,,,,,,,,,,,,,
112,zs_culvert,LoadingBg_zs_culvert,,,,,,,,,,,,,,,,,,,,,,,,,
113,zs_decoy,LoadingBg_zs_decoy,,,,,,,,,,,,,,,,,,,,,,,,,
114,de_dust0,LoadingBg_de_dust0,697 92,893 205,824 105,,,670 408,,,,,,,,,,,,,,,,,,,
115,bzm_bigtree,LoadingBg_bzm_bigtree,,,,,,,,,,,,,,,,,,,,,,,,,
116,zm_forbidden,LoadingBg_zm_forbidden,,,,,,,,,,,,,,,,,,,,,,,,,
